date,product_name,category,quantity_sold,quantity_wasted,is_weekend,is_holiday,day_of_week
2024-01-01,Hot Dogs (8-pack),Meat,10,2,False,True,0
2024-01-01,Organic Strawberries,Produce,3,0,False,True,0
2024-01-01,Whole Milk (1 gallon),Dairy,93,6,False,True,0
2024-01-02,Hot Dogs (8-pack),Meat,17,1,False,False,1
2024-01-02,Organic Strawberries,Produce,5,1,False,False,1
2024-01-02,Whole Milk (1 gallon),Dairy,81,4,False,False,1
2024-01-03,Hot Dogs (8-pack),Meat,15,1,False,False,2
2024-01-03,Organic Strawberries,Produce,7,1,False,False,2
2024-01-03,Whole Milk (1 gallon),Dairy,118,7,False,False,2
2024-01-04,Hot Dogs (8-pack),Meat,16,1,False,False,3
2024-01-04,Organic Strawberries,Produce,6,1,False,False,3
2024-01-04,Whole Milk (1 gallon),Dairy,77,6,False,False,3
2024-01-05,Hot Dogs (8-pack),Meat,15,1,False,False,4
2024-01-05,Organic Strawberries,Produce,6,1,False,False,4
2024-01-05,Whole Milk (1 gallon),Dairy,97,5,False,False,4
2024-01-06,Hot Dogs (8-pack),Meat,24,2,True,False,5
2024-01-06,Organic Strawberries,Produce,5,1,True,False,5
2024-01-06,Whole Milk (1 gallon),Dairy,134,7,True,False,5
2024-01-07,Hot Dogs (8-pack),Meat,19,1,True,False,6
2024-01-07,Organic Strawberries,Produce,6,0,True,False,6
2024-01-07,Whole Milk (1 gallon),Dairy,143,8,True,False,6
2024-01-08,Hot Dogs (8-pack),Meat,8,0,False,False,0
2024-01-08,Organic Strawberries,Produce,5,1,False,False,0
2024-01-08,Whole Milk (1 gallon),Dairy,120,5,False,False,0
2024-01-09,Hot Dogs (8-pack),Meat,8,0,False,False,1
2024-01-09,Organic Strawberries,Produce,2,0,False,False,1
2024-01-09,Whole Milk (1 gallon),Dairy,119,6,False,False,1
2024-01-10,Hot Dogs (8-pack),Meat,11,1,False,False,2
2024-01-10,Organic Strawberries,Produce,6,1,False,False,2
2024-01-10,Whole Milk (1 gallon),Dairy,122,7,False,False,2
2024-01-11,Hot Dogs (8-pack),Meat,16,0,False,False,3
2024-01-11,Organic Strawberries,Produce,5,1,False,False,3
2024-01-11,Whole Milk (1 gallon),Dairy,105,8,False,False,3
2024-01-12,Hot Dogs (8-pack),Meat,30,2,False,False,4
2024-01-12,Organic Strawberries,Produce,8,1,False,False,4
2024-01-12,Whole Milk (1 gallon),Dairy,83,3,False,False,4
2024-01-13,Hot Dogs (8-pack),Meat,18,1,True,False,5
2024-01-13,Organic Strawberries,Produce,5,1,True,False,5
2024-01-13,Whole Milk (1 gallon),Dairy,110,8,True,False,5
2024-01-14,Hot Dogs (8-pack),Meat,20,1,True,False,6
2024-01-14,Organic Strawberries,Produce,7,1,True,False,6
2024-01-14,Whole Milk (1 gallon),Dairy,132,24,True,False,6
2024-01-15,Hot Dogs (8-pack),Meat,8,0,False,False,0
2024-01-15,Organic Strawberries,Produce,2,0,False,False,0
2024-01-15,Whole Milk (1 gallon),Dairy,70,5,False,False,0
2024-01-16,Hot Dogs (8-pack),Meat,7,0,False,False,1
2024-01-16,Organic Strawberries,Produce,4,1,False,False,1
2024-01-16,Whole Milk (1 gallon),Dairy,140,10,False,False,1
2024-01-17,Hot Dogs (8-pack),Meat,12,0,False,False,2
2024-01-17,Organic Strawberries,Produce,4,0,False,False,2
2024-01-17,Whole Milk (1 gallon),Dairy,129,20,False,False,2
2024-01-18,Hot Dogs (8-pack),Meat,13,1,False,False,3
2024-01-18,Organic Strawberries,Produce,5,1,False,False,3
2024-01-18,Whole Milk (1 gallon),Dairy,97,7,False,False,3
2024-01-19,Hot Dogs (8-pack),Meat,14,1,False,False,4
2024-01-19,Organic Strawberries,Produce,5,1,False,False,4
2024-01-19,Whole Milk (1 gallon),Dairy,132,9,False,False,4
2024-01-20,Hot Dogs (8-pack),Meat,13,1,True,False,5
2024-01-20,Organic Strawberries,Produce,5,1,True,False,5
2024-01-20,Whole Milk (1 gallon),Dairy,145,11,True,False,5
2024-01-21,Hot Dogs (8-pack),Meat,18,1,True,False,6
2024-01-21,Organic Strawberries,Produce,4,0,True,False,6
2024-01-21,Whole Milk (1 gallon),Dairy,153,10,True,False,6
2024-01-22,Hot Dogs (8-pack),Meat,9,0,False,False,0
2024-01-22,Organic Strawberries,Produce,3,0,False,False,0
2024-01-22,Whole Milk (1 gallon),Dairy,152,11,False,False,0
2024-01-23,Hot Dogs (8-pack),Meat,14,1,False,False,1
2024-01-23,Organic Strawberries,Produce,4,1,False,False,1
2024-01-23,Whole Milk (1 gallon),Dairy,124,7,False,False,1
2024-01-24,Hot Dogs (8-pack),Meat,8,0,False,False,2
2024-01-24,Organic Strawberries,Produce,4,0,False,False,2
2024-01-24,Whole Milk (1 gallon),Dairy,124,7,False,False,2
2024-01-25,Hot Dogs (8-pack),Meat,15,1,False,False,3
2024-01-25,Organic Strawberries,Produce,4,0,False,False,3
2024-01-25,Whole Milk (1 gallon),Dairy,90,7,False,False,3
2024-01-26,Hot Dogs (8-pack),Meat,12,1,False,False,4
2024-01-26,Organic Strawberries,Produce,4,0,False,False,4
2024-01-26,Whole Milk (1 gallon),Dairy,130,6,False,False,4
2024-01-27,Hot Dogs (8-pack),Meat,37,2,True,False,5
2024-01-27,Organic Strawberries,Produce,6,1,True,False,5
2024-01-27,Whole Milk (1 gallon),Dairy,188,10,True,False,5
2024-01-28,Hot Dogs (8-pack),Meat,7,0,True,False,6
2024-01-28,Organic Strawberries,Produce,5,1,True,False,6
2024-01-28,Whole Milk (1 gallon),Dairy,106,5,True,False,6
2024-01-29,Hot Dogs (8-pack),Meat,8,0,False,False,0
2024-01-29,Organic Strawberries,Produce,4,1,False,False,0
2024-01-29,Whole Milk (1 gallon),Dairy,115,9,False,False,0
2024-01-30,Hot Dogs (8-pack),Meat,13,1,False,False,1
2024-01-30,Organic Strawberries,Produce,3,0,False,False,1
2024-01-30,Whole Milk (1 gallon),Dairy,110,4,False,False,1
2024-01-31,Hot Dogs (8-pack),Meat,9,1,False,False,2
2024-01-31,Organic Strawberries,Produce,4,1,False,False,2
2024-01-31,Whole Milk (1 gallon),Dairy,103,7,False,False,2
2024-02-01,Hot Dogs (8-pack),Meat,6,0,False,False,3
2024-02-01,Organic Strawberries,Produce,3,0,False,False,3
2024-02-01,Whole Milk (1 gallon),Dairy,68,5,False,False,3
2024-02-02,Hot Dogs (8-pack),Meat,25,2,False,False,4
2024-02-02,Organic Strawberries,Produce,6,0,False,False,4
2024-02-02,Whole Milk (1 gallon),Dairy,124,22,False,False,4
2024-02-03,Hot Dogs (8-pack),Meat,19,1,True,False,5
2024-02-03,Organic Strawberries,Produce,5,1,True,False,5
2024-02-03,Whole Milk (1 gallon),Dairy,211,14,True,False,5
2024-02-04,Hot Dogs (8-pack),Meat,17,1,True,False,6
2024-02-04,Organic Strawberries,Produce,4,0,True,False,6
2024-02-04,Whole Milk (1 gallon),Dairy,125,5,True,False,6
2024-02-05,Hot Dogs (8-pack),Meat,6,0,False,False,0
2024-02-05,Organic Strawberries,Produce,3,0,False,False,0
2024-02-05,Whole Milk (1 gallon),Dairy,94,5,False,False,0
2024-02-06,Hot Dogs (8-pack),Meat,9,0,False,False,1
2024-02-06,Organic Strawberries,Produce,4,0,False,False,1
2024-02-06,Whole Milk (1 gallon),Dairy,103,5,False,False,1
2024-02-07,Hot Dogs (8-pack),Meat,13,1,False,False,2
2024-02-07,Organic Strawberries,Produce,5,1,False,False,2
2024-02-07,Whole Milk (1 gallon),Dairy,115,5,False,False,2
2024-02-08,Hot Dogs (8-pack),Meat,11,1,False,False,3
2024-02-08,Organic Strawberries,Produce,4,1,False,False,3
2024-02-08,Whole Milk (1 gallon),Dairy,117,8,False,False,3
2024-02-09,Hot Dogs (8-pack),Meat,17,1,False,False,4
2024-02-09,Organic Strawberries,Produce,7,1,False,False,4
2024-02-09,Whole Milk (1 gallon),Dairy,126,9,False,False,4
2024-02-10,Hot Dogs (8-pack),Meat,34,2,True,False,5
2024-02-10,Organic Strawberries,Produce,7,1,True,False,5
2024-02-10,Whole Milk (1 gallon),Dairy,191,29,True,False,5
2024-02-11,Hot Dogs (8-pack),Meat,28,2,True,False,6
2024-02-11,Organic Strawberries,Produce,8,1,True,False,6
2024-02-11,Whole Milk (1 gallon),Dairy,148,8,True,False,6
2024-02-12,Hot Dogs (8-pack),Meat,11,1,False,False,0
2024-02-12,Organic Strawberries,Produce,4,1,False,False,0
2024-02-12,Whole Milk (1 gallon),Dairy,121,9,False,False,0
2024-02-13,Hot Dogs (8-pack),Meat,7,0,False,False,1
2024-02-13,Organic Strawberries,Produce,3,0,False,False,1
2024-02-13,Whole Milk (1 gallon),Dairy,147,10,False,False,1
2024-02-14,Hot Dogs (8-pack),Meat,8,0,False,True,2
2024-02-14,Organic Strawberries,Produce,9,1,False,True,2
2024-02-14,Whole Milk (1 gallon),Dairy,128,8,False,True,2
2024-02-15,Hot Dogs (8-pack),Meat,9,0,False,False,3
2024-02-15,Organic Strawberries,Produce,3,0,False,False,3
2024-02-15,Whole Milk (1 gallon),Dairy,101,7,False,False,3
2024-02-16,Hot Dogs (8-pack),Meat,11,1,False,False,4
2024-02-16,Organic Strawberries,Produce,7,1,False,False,4
2024-02-16,Whole Milk (1 gallon),Dairy,127,8,False,False,4
2024-02-17,Hot Dogs (8-pack),Meat,17,1,True,False,5
2024-02-17,Organic Strawberries,Produce,6,0,True,False,5
2024-02-17,Whole Milk (1 gallon),Dairy,138,10,True,False,5
2024-02-18,Hot Dogs (8-pack),Meat,14,0,True,False,6
2024-02-18,Organic Strawberries,Produce,7,1,True,False,6
2024-02-18,Whole Milk (1 gallon),Dairy,117,7,True,False,6
2024-02-19,Hot Dogs (8-pack),Meat,9,1,False,False,0
2024-02-19,Organic Strawberries,Produce,5,1,False,False,0
2024-02-19,Whole Milk (1 gallon),Dairy,113,5,False,False,0
2024-02-20,Hot Dogs (8-pack),Meat,10,1,False,False,1
2024-02-20,Organic Strawberries,Produce,6,1,False,False,1
2024-02-20,Whole Milk (1 gallon),Dairy,113,5,False,False,1
2024-02-21,Hot Dogs (8-pack),Meat,6,0,False,False,2
2024-02-21,Organic Strawberries,Produce,5,0,False,False,2
2024-02-21,Whole Milk (1 gallon),Dairy,81,5,False,False,2
2024-02-22,Hot Dogs (8-pack),Meat,6,0,False,False,3
2024-02-22,Organic Strawberries,Produce,6,1,False,False,3
2024-02-22,Whole Milk (1 gallon),Dairy,95,6,False,False,3
2024-02-23,Hot Dogs (8-pack),Meat,11,0,False,False,4
2024-02-23,Organic Strawberries,Produce,8,1,False,False,4
2024-02-23,Whole Milk (1 gallon),Dairy,118,5,False,False,4
2024-02-24,Hot Dogs (8-pack),Meat,19,1,True,False,5
2024-02-24,Organic Strawberries,Produce,9,1,True,False,5
2024-02-24,Whole Milk (1 gallon),Dairy,158,12,True,False,5
2024-02-25,Hot Dogs (8-pack),Meat,15,1,True,False,6
2024-02-25,Organic Strawberries,Produce,9,1,True,False,6
2024-02-25,Whole Milk (1 gallon),Dairy,101,6,True,False,6
2024-02-26,Hot Dogs (8-pack),Meat,9,0,False,False,0
2024-02-26,Organic Strawberries,Produce,7,1,False,False,0
2024-02-26,Whole Milk (1 gallon),Dairy,109,6,False,False,0
2024-02-27,Hot Dogs (8-pack),Meat,9,0,False,False,1
2024-02-27,Organic Strawberries,Produce,7,1,False,False,1
2024-02-27,Whole Milk (1 gallon),Dairy,88,6,False,False,1
2024-02-28,Hot Dogs (8-pack),Meat,10,1,False,False,2
2024-02-28,Organic Strawberries,Produce,9,1,False,False,2
2024-02-28,Whole Milk (1 gallon),Dairy,103,5,False,False,2
2024-02-29,Hot Dogs (8-pack),Meat,11,1,False,False,3
2024-02-29,Organic Strawberries,Produce,9,1,False,False,3
2024-02-29,Whole Milk (1 gallon),Dairy,129,7,False,False,3
2024-03-01,Hot Dogs (8-pack),Meat,12,0,False,False,4
2024-03-01,Organic Strawberries,Produce,12,1,False,False,4
